fujita-nana	藤田奈那（AKB48）のトーク	AKB48 チームK 藤田奈那です☆	藤田奈那
ZmGPhoRvArtZ	♡みなみおな♡再開したい。休止中😢😢	みなみおなのトーク	星野みなみ乃木坂46 & 堀未央奈(乃木坂46)
furuhata-nao	古畑奈和(SKE48)のトーク	755が素敵な時間となりますように…	古畑奈和
D5kozg8iGtc8	まいこむの漫画同好会	皆さんと好きな漫画などについて 話すお部屋です！漫画好きな方は是非！	深川舞子（HKT48）
ichikawamiori-takeuchimiyu	みおりんとみゆの部屋👻🍋	市川みおりんと竹内みゆです☆	市川美織（NMB48）
isokanae-sodasarina	いそさりの部屋	磯佳奈江と惣田紗莉渚のゆるゆるトーク♡	惣田紗莉渚 & 磯ちゃん
izutarina-watanabemayu	まゆずな＼(^o^)／	よろずなです＼(^o^)／	伊豆田莉奈 & 渡辺麻友(AKB48)
murase-sae	村瀬紗英（NMB48）のトーク	村瀬紗英（NMB48）のトークです	村瀬紗英
matsui-jurina	松井珠理奈(SKE48)のトーク❤	松井珠理奈（SKE48）のトークです❤	じゅりぼう
chika-kuminatti	ちかくみなっち。	松本慈子、小石公美子、高塚夏生のトークです。	松本慈子 & 髙塚夏生 & 小石公美子！くみくみワールドへようこそ！
bAZz8l-hE_4i	下西川の愉快なトーク		下口ひなな
uemura-azusa	植村梓（NMB48）のトーク	植村梓（NMB48）のトークです	植村梓
yabushita-syu	薮下柊(NMB48)のトーク	薮下柊(NMB48)のトークです	薮下柊
akb48-9ki	AKB48 9期生	大場美奈 島田晴香 竹内美宥 永尾まりや 中村麻里子 山内鈴蘭 横山由依	横山由依 & 永尾まりやぎ & 大場美奈 & 山内鈴蘭 & 島田晴香
matsuoka-natsumi	松岡菜摘（HKT48）のトーク	HKT48 松岡菜摘	松岡菜摘
ego-yuna	江籠裕奈（SKE48）のトーク	江籠裕奈のトークです	江籠裕奈(SKE48)
kato-rumi	加藤るみ(SKE48)のトーク	とにかく多趣味な加藤るみのトーク	加藤るみ
wada-maaya	和田まあや（乃木坂46）のトーク	まあやのトークです	和田まあや
kitazawa-saki	北澤早紀（AKB48）のトーク	さっきーのトークです	さっきー
7gnXoslDBu3c	チームD	チームDのDはディズニーのD。ひなちーじょーずーまにの5人組。	高山一実(乃木坂46) & 能條愛未（乃木坂46） & 斎藤ちはる(乃木坂46) & 川後P@ラジオが好き & 川村まひろ《乃木坂46》音楽大好き♡
ishida-yuumi	石田優美（NMB48）のトーク	石田優美（NMB48）のトークです	石田優美
uimashiro-okamotonaoko	ましぽんず（める）	田島芽瑠 宇井真白 岡本尚子	田島芽瑠 & 宇井真白 & 岡本尚子
oya-masana	大矢真那（SKE48）のトーク	大矢真那（SKE48）のトークです	大矢真那
tanakanatsumi-murashigeanna	博多のボスと博多のお荷物	ボスシゲとーく	田中菜津美 & 村重杏奈
Rw2pTesMTcwQ	とがちゃんのお悩み相談	とがちゃんのお悩み相談室です。48絡みの相談でも良いですよ。	とがちゃん
RdS0EEYdaSmz	とよこむトーク	1期生と4期生。またの名を、同級生。	深川舞子（HKT48）
nishino-miki	西野未姫（AKB48）のトーク	西野未姫（AKB48）のトークです	西野未姫
shimono-yuki	下野由貴(HKT48)のトーク	下野由貴(HKT48)のトークです	下野由貴(HKT48)
kobayashi-kana	小林香菜【AKB48】	AKB48二期生の小林香菜です^ ^	小林香菜【元AKB48】
90lACuLisQar	しのまり	岩花詩乃と山田麻莉奈のトークです✨なかよしーっ❤️	岩花詩乃 & 山田麻莉奈🐰💕
minegishi-minami	峯岸みなみ（AKB48）のトーク	よろしくお願いします(●´ϖ`●)	峯岸みなみ
4QpuS4hYtPUE	後藤楽々(SKE48)	チームEの後藤楽々です(*^^*)本物です(*^◯^*)	後藤楽々(SKE48)
